Bubble sort run times

RANDOM
Array size 4: 0ms
Array size 8: 0ms
Array size 16: 0ms
Array size 32: 0ms
Array size 64: 0ms
Array size 128: 0ms
Array size 256: 1ms
Array size 512: 1ms
Array size 1024: 1ms
Array size 2048: 3ms
Array size 4096: 6ms
Array size 8192: 24ms
Array size 16384: 90ms
Array size 32768: 369ms

ORDERED
Array size 4: 0ms
Array size 8: 0ms
Array size 16: 0ms
Array size 32: 0ms
Array size 64: 1ms
Array size 128: 0ms
Array size 256: 0ms
Array size 512: 0ms
Array size 1024: 0ms
Array size 2048: 1ms
Array size 4096: 0ms
Array size 8192: 1ms
Array size 16384: 1ms
Array size 32768: 2ms

REVERSED
Array size 4: 0ms
Array size 8: 0ms
Array size 16: 0ms
Array size 32: 0ms
Array size 64: 0ms
Array size 128: 0ms
Array size 256: 0ms
Array size 512: 1ms
Array size 1024: 1ms
Array size 2048: 4ms
Array size 4096: 13ms
Array size 8192: 51ms
Array size 16384: 211ms
Array size 32768: 835ms

50% ORDERED
Array size 4: 0ms
Array size 8: 0ms
Array size 16: 0ms
Array size 32: 0ms
Array size 64: 0ms
Array size 128: 0ms
Array size 256: 1ms
Array size 512: 0ms
Array size 1024: 0ms
Array size 2048: 1ms
Array size 4096: 4ms
Array size 8192: 17ms
Array size 16384: 73ms
Array size 32768: 281ms

75% ORDERED
Array size 4: 0ms
Array size 8: 0ms
Array size 16: 0ms
Array size 32: 0ms
Array size 64: 0ms
Array size 128: 0ms
Array size 256: 0ms
Array size 512: 0ms
Array size 1024: 0ms
Array size 2048: 1ms
Array size 4096: 4ms
Array size 8192: 13ms
Array size 16384: 52ms
Array size 32768: 212ms

